kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,35.10360000655055,0.0,23.5877742767334,31.9419;24.3229;23.5878
full,mono,2,3,1,34.85950001049787,0.0,23.5980281829834,31.9982;24.332;23.598
full,mono,2,3,2,12.825899990275502,0.0,23.592632293701172,32.0165;24.3335;23.5926
full,mono,2,3,3,10.090499999932945,0.0,23.57520866394043,31.8912;24.3115;23.5752
full,mono,2,3,4,9.92379995295778,0.0,23.59738540649414,32.0372;24.3372;23.5974
full,mono,2,4,0,13.03360000019893,0.0,22.990964889526367,31.9419;24.3229;23.5878;22.991
full,mono,2,4,1,13.06640001712367,0.0,23.001008987426758,31.9982;24.332;23.598;23.001
full,mono,2,4,2,12.97450001584366,0.0,22.995208740234375,32.0165;24.3335;23.5926;22.9952
full,mono,2,4,3,12.88689998909831,0.0,22.980653762817383,31.8912;24.3115;23.5752;22.9807
full,mono,2,4,4,12.895499996375293,0.0,23.000864028930664,32.0372;24.3372;23.5974;23.0009
full,mono,2,5,0,16.22380001936108,0.0,22.496307373046875,31.9419;24.3229;23.5878;22.991;22.4963
full,mono,2,5,1,16.19359996402636,0.0,22.504919052124023,31.9982;24.332;23.598;23.001;22.5049
full,mono,2,5,2,16.07389998389408,0.0,22.496747970581055,32.0165;24.3335;23.5926;22.9952;22.4967
full,mono,2,5,3,16.51099999435246,0.0,22.4847412109375,31.8912;24.3115;23.5752;22.9807;22.4847
full,mono,2,5,4,16.680200002156198,0.0,22.503276824951172,32.0372;24.3372;23.5974;23.0009;22.5033
full,mono,3,3,0,12.073200021404773,0.0,19.56066131591797,31.9419;21.5152;19.5607
full,mono,3,3,1,11.352900008205324,0.0,19.578767776489258,31.9982;21.5311;19.5788
full,mono,3,3,2,10.479099990334362,0.0,19.565185546875,32.0165;21.527;19.5652
full,mono,3,3,3,10.781000019051135,0.0,19.544174194335938,31.8912;21.4949;19.5442
full,mono,3,3,4,10.328600008506328,0.0,19.576705932617188,32.0372;21.5344;19.5767
full,mono,3,4,0,13.864599983207881,0.0,18.14393424987793,31.9419;21.5152;19.5607;18.1439
full,mono,3,4,1,14.156099990941584,0.0,18.162471771240234,31.9982;21.5311;19.5788;18.1625
full,mono,3,4,2,14.144500019028783,0.0,18.1442928314209,32.0165;21.527;19.5652;18.1443
full,mono,3,4,3,13.894300034735352,0.0,18.133956909179688,31.8912;21.4949;19.5442;18.134
full,mono,3,4,4,13.968800019938499,0.0,18.162668228149414,32.0372;21.5344;19.5767;18.1627
full,mono,3,5,0,17.383099999278784,0.0,17.01645851135254,31.9419;21.5152;19.5607;18.1439;17.0165
full,mono,3,5,1,17.47679995605722,0.0,17.035120010375977,31.9982;21.5311;19.5788;18.1625;17.0351
