kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,53.12870000489056,0.0,36.12977600097656,45.1938;36.6739;36.1298
full,mono,2,3,1,53.64050000207499,0.0,36.131370544433594,45.2316;36.6806;36.1314
full,mono,2,3,2,53.030400013085455,0.0,36.13328552246094,45.2388;36.6815;36.1333
full,mono,2,3,3,52.719100029207766,0.0,36.134212493896484,45.2405;36.6831;36.1342
full,mono,2,3,4,53.228700009640306,0.0,36.133872985839844,45.2246;36.6803;36.1339
full,mono,2,4,0,70.87139994837344,0.0,35.645687103271484,45.1938;36.6739;36.1298;35.6457
full,mono,2,4,1,71.26639998750761,0.0,35.64786148071289,45.2316;36.6806;36.1314;35.6479
full,mono,2,4,2,71.19609997607768,0.0,35.65034484863281,45.2388;36.6815;36.1333;35.6503
full,mono,2,4,3,72.10039999336004,0.0,35.65155792236328,45.2405;36.6831;36.1342;35.6516
full,mono,2,4,4,71.2492999737151,0.0,35.65180587768555,45.2246;36.6803;36.1339;35.6518
full,mono,2,5,0,89.33289995184168,0.0,35.273956298828125,45.1938;36.6739;36.1298;35.6457;35.274
full,mono,2,5,1,88.52819999447092,0.0,35.275428771972656,45.2316;36.6806;36.1314;35.6479;35.2754
full,mono,2,5,2,90.26169998105615,0.0,35.27690887451172,45.2388;36.6815;36.1333;35.6503;35.2769
full,mono,2,5,3,90.95370001159608,0.0,35.27806854248047,45.2405;36.6831;36.1342;35.6516;35.2781
full,mono,2,5,4,90.35800001583993,0.0,35.27362060546875,45.2246;36.6803;36.1339;35.6518;35.2736
full,mono,3,3,0,66.32049998734146,0.0,31.156902313232422,45.1938;32.8157;31.1569
full,mono,3,3,1,66.52559997746721,0.0,31.161434173583984,45.2316;32.8204;31.1614
full,mono,3,3,2,66.69960002182052,0.0,31.164546966552734,45.2388;32.8233;31.1645
full,mono,3,3,3,65.95949997426942,0.0,31.166738510131836,45.2405;32.8251;31.1667
full,mono,3,3,4,65.75980002526194,0.0,31.164335250854492,45.2246;32.8235;31.1643
full,mono,3,4,0,88.3902000496164,0.0,29.887311935424805,45.1938;32.8157;31.1569;29.8873
full,mono,3,4,1,88.29240000341088,0.0,29.887802124023438,45.2316;32.8204;31.1614;29.8878
full,mono,3,4,2,87.79899997171015,0.0,29.891857147216797,45.2388;32.8233;31.1645;29.8919
full,mono,3,4,3,88.10839999932796,0.0,29.895769119262695,45.2405;32.8251;31.1667;29.8958
full,mono,3,4,4,89.3746999790892,0.0,29.89271354675293,45.2246;32.8235;31.1643;29.8927
full,mono,3,5,0,111.75310000544414,0.0,28.863256454467773,45.1938;32.8157;31.1569;29.8873;28.8633
full,mono,3,5,1,112.13909997604787,0.0,28.863391876220703,45.2316;32.8204;31.1614;29.8878;28.8634
full,mono,3,5,2,112.20380000304431,0.0,28.866132736206055,45.2388;32.8233;31.1645;29.8919;28.8661
full,mono,3,5,3,111.16400000173599,0.0,28.87030792236328,45.2405;32.8251;31.1667;29.8958;28.8703
full,mono,3,5,4,111.04869999689981,0.0,28.86989974975586,45.2246;32.8235;31.1643;29.8927;28.8699
full,mono,4,3,0,79.15830001002178,0.0,29.355558395385742,45.1938;32.0564;29.3556
full,mono,4,3,1,79.2473999899812,0.0,29.35527801513672,45.2316;32.0637;29.3553
full,mono,4,3,2,79.02159995865077,0.0,29.360280990600586,45.2388;32.0682;29.3603
full,mono,4,3,3,78.81049998104572,0.0,29.363317489624023,45.2405;32.0704;29.3633
full,mono,4,3,4,79.02879995526746,0.0,29.360746383666992,45.2246;32.0655;29.3607
full,mono,4,4,0,106.09359998488799,0.0,27.544408798217773,45.1938;32.0564;29.3556;27.5444
