kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,2.171900006942451,0.0,5.715541362762451,11.272;6.84147;5.71554
full,mono,2,3,1,2.2638000082224607,0.0,5.764809608459473,11.578;6.90609;5.76481
full,mono,2,3,2,2.021699969191104,0.0,5.671980381011963,10.8757;6.7385;5.67198
full,mono,2,3,3,1.9822000176645815,0.0,5.719642639160156,11.2571;6.83841;5.71964
full,mono,2,3,4,1.9904999644495547,0.0,5.6972503662109375,11.2246;6.81914;5.69725
full,mono,2,4,0,2.791399951092899,0.0,4.936814785003662,11.272;6.84147;5.71554;4.93681
full,mono,2,4,1,2.5384000036865473,0.0,4.994822978973389,11.578;6.90609;5.76481;4.99482
full,mono,2,4,2,2.7055999962612987,0.0,4.937901020050049,10.8757;6.7385;5.67198;4.9379
full,mono,2,4,3,2.6968999882228673,0.0,4.953389644622803,11.2571;6.83841;5.71964;4.95339
full,mono,2,4,4,2.8931000269949436,0.0,4.945375442504883,11.2246;6.81914;5.69725;4.94538
full,mono,2,5,0,3.173000004608184,0.0,4.325088977813721,11.272;6.84147;5.71554;4.93681;4.32509
full,mono,2,5,1,3.234800009522587,0.0,4.3712992668151855,11.578;6.90609;5.76481;4.99482;4.3713
full,mono,2,5,2,3.5983999841846526,0.0,4.357577323913574,10.8757;6.7385;5.67198;4.9379;4.35758
full,mono,2,5,3,3.2896000193431973,0.0,4.344116687774658,11.2571;6.83841;5.71964;4.95339;4.34412
full,mono,2,5,4,3.132199984975159,0.0,4.3670477867126465,11.2246;6.81914;5.69725;4.94538;4.36705
full,mono,3,3,0,2.1492999512702227,0.0,4.513741970062256,11.272;6.42577;4.51374
full,mono,3,3,1,1.927000004798174,0.0,4.606469631195068,11.578;6.49204;4.60647
full,mono,3,3,2,1.9484999938867986,0.0,4.508279323577881,10.8757;6.31956;4.50828
full,mono,3,3,3,1.9281000131741166,0.0,4.530073642730713,11.2571;6.41496;4.53007
full,mono,3,3,4,2.052399970125407,0.0,4.545050621032715,11.2246;6.39347;4.54505
full,mono,3,4,0,2.5134000461548567,0.0,3.2981104850769043,11.272;6.42577;4.51374;3.29811
full,mono,3,4,1,2.632100018672645,0.0,3.3375277519226074,11.578;6.49204;4.60647;3.33753
full,mono,3,4,2,3.064399992581457,0.0,3.366528034210205,10.8757;6.31956;4.50828;3.36653
full,mono,3,4,3,2.7864999719895422,0.0,3.3252317905426025,11.2571;6.41496;4.53007;3.32523
full,mono,3,4,4,2.5319000124000013,0.0,3.389131784439087,11.2246;6.39347;4.54505;3.38913
full,mono,3,5,0,3.7328999605961144,0.0,2.543415069580078,11.272;6.42577;4.51374;3.29811;2.54342
full,mono,3,5,1,3.1988999689929187,0.0,2.606065034866333,11.578;6.49204;4.60647;3.33753;2.60607
full,mono,3,5,2,3.217599994968623,0.0,2.6129958629608154,10.8757;6.31956;4.50828;3.36653;2.613
full,mono,3,5,3,3.690200042910874,0.0,2.5757079124450684,11.2571;6.41496;4.53007;3.32523;2.57571
full,mono,3,5,4,3.8825999945402145,0.0,2.6446876525878906,11.2246;6.39347;4.54505;3.38913;2.64469
full,mono,4,3,0,2.150300017092377,0.0,6.582023620605469,11.272;7.50793;6.58202
full,mono,4,3,1,3.126499999780208,0.0,6.632561683654785,11.578;7.51906;6.63256
full,mono,4,3,2,1.9382000318728387,0.0,6.563117504119873,10.8757;7.49672;6.56312
full,mono,4,3,3,1.9650000031106174,0.0,6.57638692855835,11.2571;7.51619;6.57639
full,mono,4,3,4,2.0614999812096357,0.0,6.616683483123779,11.2246;7.49802;6.61668
full,mono,4,4,0,2.937800018116832,0.0,5.611424446105957,11.272;7.50793;6.58202;5.61142
full,mono,4,4,1,2.5495000299997628,0.0,5.651236534118652,11.578;7.51906;6.63256;5.65124
full,mono,4,4,2,2.623499953188002,0.0,5.649502277374268,10.8757;7.49672;6.56312;5.6495
full,mono,4,4,3,3.140199987683445,0.0,5.640151023864746,11.2571;7.51619;6.57639;5.64015
full,mono,4,4,4,3.0267999973148108,0.0,5.655447006225586,11.2246;7.49802;6.61668;5.65545
full,mono,4,5,0,3.1543999793939292,0.0,5.307291030883789,11.272;7.50793;6.58202;5.61142;5.30729
full,mono,4,5,1,3.5291999811306596,0.0,5.349250793457031,11.578;7.51906;6.63256;5.65124;5.34925
full,mono,4,5,2,3.174800018314272,0.0,5.333108901977539,10.8757;7.49672;6.56312;5.6495;5.33311
full,mono,4,5,3,3.152499964926392,0.0,5.363820552825928,11.2571;7.51619;6.57639;5.64015;5.36382
full,mono,4,5,4,3.5312999971210957,0.0,5.340246677398682,11.2246;7.49802;6.61668;5.65545;5.34025
full,mono,5,3,0,2.2508000256493688,0.0,10.883213996887207,11.272;11.026;10.8832
full,mono,5,3,1,2.071100054308772,0.0,10.882462501525879,11.578;11.0232;10.8825
full,mono,5,3,2,2.2291000350378454,0.0,10.88988208770752,10.8757;11.0294;10.8899
full,mono,5,3,3,2.440700016450137,0.0,10.886445999145508,11.2571;11.0264;10.8864
full,mono,5,3,4,2.0591000211425126,0.0,10.887754440307617,11.2246;11.0248;10.8878
full,mono,5,4,0,2.7880999841727316,0.0,10.79903793334961,11.272;11.026;10.8832;10.799
full,mono,5,4,1,2.8001999598927796,0.0,10.797882080078125,11.578;11.0232;10.8825;10.7979
full,mono,5,4,2,2.9666999471373856,0.0,10.800993919372559,10.8757;11.0294;10.8899;10.801
full,mono,5,4,3,2.677599957678467,0.0,10.797653198242188,11.2571;11.0264;10.8864;10.7977
full,mono,5,4,4,2.800000016577542,0.0,10.800420761108398,11.2246;11.0248;10.8878;10.8004
full,mono,5,5,0,3.4283000277355313,0.0,10.77018928527832,11.272;11.026;10.8832;10.799;10.7702
full,mono,5,5,1,3.6374999908730388,0.0,10.772675514221191,11.578;11.0232;10.8825;10.7979;10.7727
full,mono,5,5,2,3.4753999789245427,0.0,10.770611763000488,10.8757;11.0294;10.8899;10.801;10.7706
full,mono,5,5,3,3.639900009147823,0.0,10.771336555480957,11.2571;11.0264;10.8864;10.7977;10.7713
full,mono,5,5,4,3.2205000170506537,0.0,10.772246360778809,11.2246;11.0248;10.8878;10.8004;10.7722
full,cheb,2,3,0,2.1118000149726868,0.0,5.60707950592041,11.272;6.7354;5.60708
full,cheb,2,3,1,2.348200010601431,0.0,5.65834379196167,11.578;6.8002;5.65834
full,cheb,2,3,2,1.9081999780610204,0.0,5.565520763397217,10.8757;6.63348;5.56552
full,cheb,2,3,3,2.0542999845929444,0.0,5.6123127937316895,11.2571;6.7321;5.61231
full,cheb,2,3,4,1.984999980777502,0.0,5.588909149169922,11.2246;6.71141;5.58891
full,cheb,2,4,0,3.2974000205285847,0.0,4.812695503234863,11.272;6.7354;5.60708;4.8127
full,cheb,2,4,1,2.5490999687463045,0.0,4.872341156005859,11.578;6.8002;5.65834;4.87234
full,cheb,2,4,2,2.6693999534472823,0.0,4.817885398864746,10.8757;6.63348;5.56552;4.81789
full,cheb,2,4,3,2.8330000350251794,0.0,4.830724239349365,11.2571;6.7321;5.61231;4.83072
full,cheb,2,4,4,2.521799993701279,0.0,4.826415538787842,11.2246;6.71141;5.58891;4.82642
full,cheb,2,5,0,3.0467999749816954,0.0,4.181626796722412,11.272;6.7354;5.60708;4.8127;4.18163
full,cheb,2,5,1,3.367600031197071,0.0,4.231142997741699,11.578;6.8002;5.65834;4.87234;4.23114
full,cheb,2,5,2,3.257200005464256,0.0,4.219574451446533,10.8757;6.63348;5.56552;4.81789;4.21957
full,cheb,2,5,3,3.4432000247761607,0.0,4.2034687995910645,11.2571;6.7321;5.61231;4.83072;4.20347
full,cheb,2,5,4,3.31579998601228,0.0,4.229145050048828,11.2246;6.71141;5.58891;4.82642;4.22915
full,cheb,3,3,0,2.043500018771738,0.0,4.217372417449951,11.272;6.19014;4.21737
full,cheb,3,3,1,2.005100017413497,0.0,4.311002731323242,11.578;6.26439;4.311
full,cheb,3,3,2,2.070500049740076,0.0,4.2266950607299805,10.8757;6.08282;4.2267
full,cheb,3,3,3,2.398399985395372,0.0,4.237603664398193,11.2571;6.18041;4.2376
full,cheb,3,3,4,1.9725000020116568,0.0,4.25964879989624,11.2246;6.15692;4.25965
full,cheb,3,4,0,2.6479000225663185,0.0,3.0179855823516846,11.272;6.19014;4.21737;3.01799
full,cheb,3,4,1,2.448100014589727,0.0,3.0613927841186523,11.578;6.26439;4.311;3.06139
full,cheb,3,4,2,2.598999999463558,0.0,3.0955145359039307,10.8757;6.08282;4.2267;3.09551
full,cheb,3,4,3,2.4494000244885683,0.0,3.045413017272949,11.2571;6.18041;4.2376;3.04541
full,cheb,3,4,4,2.5615000049583614,0.0,3.116309404373169,11.2246;6.15692;4.25965;3.11631
full,cheb,3,5,0,3.340099996421486,0.0,2.2484402656555176,11.272;6.19014;4.21737;3.01799;2.24844
full,cheb,3,5,1,3.116200037766248,0.0,2.3107569217681885,11.578;6.26439;4.311;3.06139;2.31076
full,cheb,3,5,2,3.1305000302381814,0.0,2.3202965259552,10.8757;6.08282;4.2267;3.09551;2.3203
full,cheb,3,5,3,3.397099964786321,0.0,2.2747764587402344,11.2571;6.18041;4.2376;3.04541;2.27478
full,cheb,3,5,4,3.1449999660253525,0.0,2.3484508991241455,11.2246;6.15692;4.25965;3.11631;2.34845
full,cheb,4,3,0,2.0776999881491065,0.0,5.244933128356934,11.272;6.58412;5.24493
full,cheb,4,3,1,2.38250003894791,0.0,5.326366424560547,11.578;6.61448;5.32637
full,cheb,4,3,2,2.0599999697878957,0.0,5.251140117645264,10.8757;6.57092;5.25114
full,cheb,4,3,3,2.11130001116544,0.0,5.266322135925293,11.2571;6.59611;5.26632
full,cheb,4,3,4,1.9010999822057784,0.0,5.306690216064453,11.2246;6.57772;5.30669
full,cheb,4,4,0,2.7190999826416373,0.0,4.019713401794434,11.272;6.58412;5.24493;4.01971
full,cheb,4,4,1,2.752400003373623,0.0,4.102141857147217,11.578;6.61448;5.32637;4.10214
full,cheb,4,4,2,2.671699970960617,0.0,4.081277847290039,10.8757;6.57092;5.25114;4.08128
full,cheb,4,4,3,2.516400010790676,0.0,4.079029560089111,11.2571;6.59611;5.26632;4.07903
full,cheb,4,4,4,3.3401999971829355,0.0,4.126863956451416,11.2246;6.57772;5.30669;4.12686
full,cheb,4,5,0,3.1447000219486654,0.0,3.5150773525238037,11.272;6.58412;5.24493;4.01971;3.51508
full,cheb,4,5,1,3.120900015346706,0.0,3.5638773441314697,11.578;6.61448;5.32637;4.10214;3.56388
full,cheb,4,5,2,3.3115000114776194,0.0,3.554500102996826,10.8757;6.57092;5.25114;4.08128;3.5545
full,cheb,4,5,3,3.133399994112551,0.0,3.620008945465088,11.2571;6.59611;5.26632;4.07903;3.62001
full,cheb,4,5,4,3.18100000731647,0.0,3.541656494140625,11.2246;6.57772;5.30669;4.12686;3.54166
full,cheb,5,3,0,2.150599961169064,0.0,6.713845729827881,11.272;7.08062;6.71385
full,cheb,5,3,1,2.046799985691905,0.0,6.716342926025391,11.578;7.05448;6.71634
full,cheb,5,3,2,1.9797999993897974,0.0,6.747438907623291,10.8757;7.15364;6.74744
full,cheb,5,3,3,1.886499987449497,0.0,6.706022262573242,11.2571;7.11208;6.70602
full,cheb,5,3,4,2.6038000360131264,0.0,6.756475448608398,11.2246;7.10093;6.75648
full,cheb,5,4,0,3.805199987255037,0.0,6.293217182159424,11.272;7.08062;6.71385;6.29322
full,cheb,5,4,1,3.8343999767675996,0.0,6.344726085662842,11.578;7.05448;6.71634;6.34473
full,cheb,5,4,2,3.9707000250928104,0.0,6.328372955322266,10.8757;7.15364;6.74744;6.32837
full,cheb,5,4,3,3.0898000113666058,0.0,6.379230976104736,11.2571;7.11208;6.70602;6.37923
full,cheb,5,4,4,2.688599983230233,0.0,6.324032783508301,11.2246;7.10093;6.75648;6.32403
full,cheb,5,5,0,3.4715000074356794,0.0,6.320467472076416,11.272;7.08062;6.71385;6.29322;6.32047
full,cheb,5,5,1,3.2801000052131712,0.0,6.326910018920898,11.578;7.05448;6.71634;6.34473;6.32691
full,cheb,5,5,2,3.385599993634969,0.0,6.334130764007568,10.8757;7.15364;6.74744;6.32837;6.33413
full,cheb,5,5,3,3.416999999899417,0.0,6.319284439086914,11.2571;7.11208;6.70602;6.37923;6.31928
full,cheb,5,5,4,3.3576000132597983,0.0,6.283936977386475,11.2246;7.10093;6.75648;6.32403;6.28394
