kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,2.390399982687086,0.0,3.5261998176574707,8.03456;4.61573;3.5262
full,mono,2,3,1,1.9632999901659787,0.0,3.3713290691375732,7.83556;4.48234;3.37133
full,mono,2,3,2,2.0249999943189323,0.0,3.385080099105835,7.76279;4.46063;3.38508
full,mono,2,3,3,1.9157000351697206,0.0,3.410360336303711,7.75545;4.51739;3.41036
full,mono,2,3,4,2.618800033815205,0.0,3.3269400596618652,7.83053;4.47027;3.32694
full,mono,2,4,0,2.8486999799497426,0.0,2.8862521648406982,8.03456;4.61573;3.5262;2.88625
full,mono,2,4,1,2.436899987515062,0.0,2.6981515884399414,7.83556;4.48234;3.37133;2.69815
full,mono,2,4,2,2.4438999826088548,0.0,2.716059923171997,7.76279;4.46063;3.38508;2.71606
full,mono,2,4,3,2.7865999727509916,0.0,2.7291674613952637,7.75545;4.51739;3.41036;2.72917
full,mono,2,4,4,2.654000010807067,0.0,2.6988465785980225,7.83053;4.47027;3.32694;2.69885
full,mono,2,5,0,3.13660001847893,0.0,2.435431718826294,8.03456;4.61573;3.5262;2.88625;2.43543
full,mono,2,5,1,3.470800002105534,0.0,2.162689685821533,7.83556;4.48234;3.37133;2.69815;2.16269
full,mono,2,5,2,3.0633999849669635,0.0,2.1876845359802246,7.76279;4.46063;3.38508;2.71606;2.18768
full,mono,2,5,3,3.0909000197425485,0.0,2.2042617797851562,7.75545;4.51739;3.41036;2.72917;2.20426
full,mono,2,5,4,3.358999965712428,0.0,2.292020320892334,7.83053;4.47027;3.32694;2.69885;2.29202
full,mono,3,3,0,2.184899989515543,0.0,3.8321828842163086,8.03456;4.8306;3.83218
full,mono,3,3,1,1.8986999639309943,0.0,3.648463726043701,7.83556;4.70105;3.64846
full,mono,3,3,2,1.9128000130876899,0.0,3.670850992202759,7.76279;4.69655;3.67085
full,mono,3,3,3,2.106000029016286,0.0,3.6444437503814697,7.75545;4.74558;3.64444
full,mono,3,3,4,1.9702999852597713,0.0,3.6609551906585693,7.83053;4.68247;3.66096
full,mono,3,4,0,2.421199984382838,0.0,2.8998098373413086,8.03456;4.8306;3.83218;2.89981
full,mono,3,4,1,3.672200022265315,0.0,2.730999708175659,7.83556;4.70105;3.64846;2.731
full,mono,3,4,2,2.810099977068603,0.0,2.6739699840545654,7.76279;4.69655;3.67085;2.67397
full,mono,3,4,3,2.9900000081397593,0.0,2.640880584716797,7.75545;4.74558;3.64444;2.64088
full,mono,3,4,4,2.888499991968274,0.0,2.890099287033081,7.83053;4.68247;3.66096;2.8901
full,mono,3,5,0,3.804299980401993,0.0,2.3757967948913574,8.03456;4.8306;3.83218;2.89981;2.3758
full,mono,3,5,1,3.3153999829664826,0.0,2.3561017513275146,7.83556;4.70105;3.64846;2.731;2.3561
full,mono,3,5,2,3.4410000080242753,0.0,2.2457406520843506,7.76279;4.69655;3.67085;2.67397;2.24574
full,mono,3,5,3,3.3840000396594405,0.0,2.153298854827881,7.75545;4.74558;3.64444;2.64088;2.1533
full,mono,3,5,4,3.1608999706804752,0.0,2.485077381134033,7.83053;4.68247;3.66096;2.8901;2.48508
full,mono,4,3,0,2.2742999717593193,0.0,5.615038871765137,8.03456;5.69279;5.61504
full,mono,4,3,1,2.010700001846999,0.0,5.557739734649658,7.83556;5.59896;5.55774
full,mono,4,3,2,2.1831999765709043,0.0,5.547586917877197,7.76279;5.60483;5.54759
full,mono,4,3,3,1.9512000144459307,0.0,5.502542972564697,7.75545;5.68419;5.50254
full,mono,4,3,4,1.9977999618276954,0.0,5.621152400970459,7.83053;5.59061;5.62115
full,mono,4,4,0,2.5570999714545906,0.0,5.198533058166504,8.03456;5.69279;5.61504;5.19853
full,mono,4,4,1,2.566699986346066,0.0,5.196409225463867,7.83556;5.59896;5.55774;5.19641
full,mono,4,4,2,2.803599985782057,0.0,5.120312690734863,7.76279;5.60483;5.54759;5.12031
full,mono,4,4,3,3.4275000216439366,0.0,5.158995151519775,7.75545;5.68419;5.50254;5.159
full,mono,4,4,4,2.4396999506279826,0.0,5.194492816925049,7.83053;5.59061;5.62115;5.19449
full,mono,4,5,0,3.3698000479489565,0.0,5.313477993011475,8.03456;5.69279;5.61504;5.19853;5.31348
full,mono,4,5,1,3.3589000231586397,0.0,5.358341217041016,7.83556;5.59896;5.55774;5.19641;5.35834
full,mono,4,5,2,2.924199972767383,0.0,5.392193794250488,7.76279;5.60483;5.54759;5.12031;5.39219
full,mono,4,5,3,3.299300034996122,0.0,5.285196781158447,7.75545;5.68419;5.50254;5.159;5.2852
full,mono,4,5,4,3.3508999622426927,0.0,5.385161399841309,7.83053;5.59061;5.62115;5.19449;5.38516
full,mono,5,3,0,2.2214999771676958,0.0,7.710167407989502,8.03456;7.81557;7.71017
full,mono,5,3,1,1.8791999900713563,0.0,7.704410552978516,7.83556;7.80935;7.70441
full,mono,5,3,2,2.2827000357210636,0.0,7.704604148864746,7.76279;7.8118;7.7046
full,mono,5,3,3,2.953900024294853,0.0,7.71260404586792,7.75545;7.81573;7.7126
full,mono,5,3,4,2.2779999999329448,0.0,7.708148956298828,7.83053;7.80587;7.70815
full,mono,5,4,0,3.2512000179849565,0.0,7.635672569274902,8.03456;7.81557;7.71017;7.63567
full,mono,5,4,1,4.700399993453175,0.0,7.628341197967529,7.83556;7.80935;7.70441;7.62834
full,mono,5,4,2,5.2652000449597836,0.0,7.630906581878662,7.76279;7.8118;7.7046;7.63091
full,mono,5,4,3,4.903699969872832,0.0,7.631637096405029,7.75545;7.81573;7.7126;7.63164
full,mono,5,4,4,5.089099984616041,0.0,7.638092041015625,7.83053;7.80587;7.70815;7.63809
