kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,3.464900015387684,0.0,9.404783248901367,16.1818;10.509;9.40478
full,mono,2,3,1,3.4209999721497297,0.0,9.334999084472656,15.854;10.4236;9.335
full,mono,2,3,2,3.4062000340782106,0.0,9.396928787231445,15.9203;10.4706;9.39693
full,mono,2,3,3,3.4191999584436417,0.0,9.394683837890625,16.0077;10.4792;9.39468
full,mono,2,3,4,3.572500019799918,0.0,9.362972259521484,15.7423;10.4161;9.36297
full,mono,2,4,0,4.461800039280206,0.0,8.620901107788086,16.1818;10.509;9.40478;8.6209
full,mono,2,4,1,4.689499968662858,0.0,8.554983139038086,15.854;10.4236;9.335;8.55498
full,mono,2,4,2,4.675000032875687,0.0,8.61373233795166,15.9203;10.4706;9.39693;8.61373
full,mono,2,4,3,4.462399985641241,0.0,8.60975456237793,16.0077;10.4792;9.39468;8.60975
full,mono,2,4,4,4.780500021297485,0.0,8.593419075012207,15.7423;10.4161;9.36297;8.59342
full,mono,2,5,0,5.318900046404451,0.0,8.00029182434082,16.1818;10.509;9.40478;8.6209;8.00029
full,mono,2,5,1,5.432599980849773,0.0,7.935102939605713,15.854;10.4236;9.335;8.55498;7.9351
full,mono,2,5,2,5.53090003086254,0.0,7.984302043914795,15.9203;10.4706;9.39693;8.61373;7.9843
full,mono,2,5,3,5.5204000091180205,0.0,7.976416110992432,16.0077;10.4792;9.39468;8.60975;7.97642
full,mono,2,5,4,5.331899970769882,0.0,7.962104320526123,15.7423;10.4161;9.36297;8.59342;7.9621
full,mono,3,3,0,3.761500003747642,0.0,7.258260250091553,16.1818;9.33846;7.25826
full,mono,3,3,1,3.8935000193305314,0.0,7.1680426597595215,15.854;9.23523;7.16804
full,mono,3,3,2,3.691399993840605,0.0,7.226393222808838,15.9203;9.29999;7.22639
full,mono,3,3,3,3.9467000169679523,0.0,7.223310947418213,16.0077;9.31024;7.22331
full,mono,3,3,4,3.9533000090159476,0.0,7.20009708404541,15.7423;9.24984;7.2001
full,mono,3,4,0,5.93089999165386,0.0,5.970925331115723,16.1818;9.33846;7.25826;5.97093
full,mono,3,4,1,4.910800023935735,0.0,5.884314060211182,15.854;9.23523;7.16804;5.88431
full,mono,3,4,2,5.154700018465519,0.0,5.911851406097412,15.9203;9.29999;7.22639;5.91185
full,mono,3,4,3,4.90860000718385,0.0,5.885918617248535,16.0077;9.31024;7.22331;5.88592
full,mono,3,4,4,5.800099985208362,0.0,5.86760950088501,15.7423;9.24984;7.2001;5.86761
full,mono,3,5,0,6.973500014282763,0.0,5.01455020904541,16.1818;9.33846;7.25826;5.97093;5.01455
full,mono,3,5,1,6.467900006100535,0.0,4.950626850128174,15.854;9.23523;7.16804;5.88431;4.95063
full,mono,3,5,2,4.869199998211116,0.0,4.927566051483154,15.9203;9.29999;7.22639;5.91185;4.92757
full,mono,3,5,3,6.0662999749183655,0.0,4.891727924346924,16.0077;9.31024;7.22331;5.88592;4.89173
full,mono,3,5,4,7.0677000330761075,0.0,4.886534690856934,15.7423;9.24984;7.2001;5.86761;4.88653
full,mono,4,3,0,4.370499984361231,0.0,8.03158187866211,16.1818;10.2051;8.03158
full,mono,4,3,1,4.32479998562485,0.0,7.939846515655518,15.854;10.1217;7.93985
full,mono,4,3,2,4.1523000109009445,0.0,7.956571102142334,15.9203;10.1854;7.95657
full,mono,4,3,3,4.09380003111437,0.0,7.955404758453369,16.0077;10.185;7.9554
full,mono,4,3,4,4.066499997861683,0.0,7.925596714019775,15.7423;10.1448;7.9256
full,mono,4,4,0,4.7647999599576,0.0,6.569821834564209,16.1818;10.2051;8.03158;6.56982
full,mono,4,4,1,4.220900009386241,0.0,6.519359588623047,15.854;10.1217;7.93985;6.51936
full,mono,4,4,2,4.33959998190403,0.0,6.483654975891113,15.9203;10.1854;7.95657;6.48365
full,mono,4,4,3,4.235800006426871,0.0,6.463199138641357,16.0077;10.185;7.9554;6.4632
full,mono,4,4,4,4.328299954067916,0.0,6.4600677490234375,15.7423;10.1448;7.9256;6.46007
full,mono,4,5,0,5.387799988966435,0.0,5.80147123336792,16.1818;10.2051;8.03158;6.56982;5.80147
full,mono,4,5,1,5.266499996650964,0.0,5.779839515686035,15.854;10.1217;7.93985;6.51936;5.77984
full,mono,4,5,2,5.3190000471659005,0.0,5.74111795425415,15.9203;10.1854;7.95657;6.48365;5.74112
full,mono,4,5,3,5.467800016049296,0.0,5.737685680389404,16.0077;10.185;7.9554;6.4632;5.73769
full,mono,4,5,4,5.28629997279495,0.0,5.712203025817871,15.7423;10.1448;7.9256;6.46007;5.7122
full,mono,5,3,0,3.6697000032290816,0.0,15.358134269714355,16.1818;15.5463;15.3581
full,mono,5,3,1,3.583399986382574,0.0,15.352689743041992,15.854;15.543;15.3527
full,mono,5,3,2,4.1334000416100025,0.0,15.354482650756836,15.9203;15.5496;15.3545
full,mono,5,3,3,4.321300017181784,0.0,15.353754043579102,16.0077;15.5481;15.3538
