kind,basis,deg,iters,matrix_id,total_ms,apply_us,deltaF_final,deltaF_traj
full,mono,2,3,0,6.9635999971069396,0.0,15.063847541809082,22.6137;16.0012;15.0638
full,mono,2,3,1,7.229400041978806,0.0,15.05491828918457,22.4981;15.9772;15.0549
full,mono,2,3,2,7.248699956107885,0.0,15.066057205200195,22.608;16.0018;15.0661
full,mono,2,3,3,6.908099981956184,0.0,15.077068328857422,22.6459;16.0135;15.0771
full,mono,2,3,4,7.218300015665591,0.0,15.052763938903809,22.4972;15.9786;15.0528
full,mono,2,4,0,9.221400017850101,0.0,14.352056503295898,22.6137;16.0012;15.0638;14.3521
full,mono,2,4,1,9.615899994969368,0.0,14.347145080566406,22.4981;15.9772;15.0549;14.3471
full,mono,2,4,2,9.224099980201572,0.0,14.346183776855469,22.608;16.0018;15.0661;14.3462
full,mono,2,4,3,8.984100015368313,0.0,14.36134147644043,22.6459;16.0135;15.0771;14.3613
full,mono,2,4,4,9.32209996972233,0.0,14.345246315002441,22.4972;15.9786;15.0528;14.3452
full,mono,2,5,0,12.022699986118823,0.0,13.77262020111084,22.6137;16.0012;15.0638;14.3521;13.7726
full,mono,2,5,1,11.426399985793978,0.0,13.77149772644043,22.4981;15.9772;15.0549;14.3471;13.7715
full,mono,2,5,2,11.74310001078993,0.0,13.759777069091797,22.608;16.0018;15.0661;14.3462;13.7598
full,mono,2,5,3,11.496699997223914,0.0,13.779784202575684,22.6459;16.0135;15.0771;14.3613;13.7798
full,mono,2,5,4,9.625600010622293,0.0,13.767072677612305,22.4972;15.9786;15.0528;14.3452;13.7671
full,mono,3,3,0,5.07449998985976,0.0,11.99431324005127,22.6137;14.076;11.9943
full,mono,3,3,1,5.105000047478825,0.0,11.991847038269043,22.4981;14.0585;11.9918
full,mono,3,3,2,5.292999965604395,0.0,11.975878715515137,22.608;14.0787;11.9759
full,mono,3,3,3,4.880199965555221,0.0,12.006494522094727,22.6459;14.0943;12.0065
full,mono,3,3,4,5.1865000277757645,0.0,11.984016418457031,22.4972;14.057;11.984
full,mono,3,4,0,6.814900028984994,0.0,10.577759742736816,22.6137;14.076;11.9943;10.5778
full,mono,3,4,1,6.7677999613806605,0.0,10.577235221862793,22.4981;14.0585;11.9918;10.5772
full,mono,3,4,2,6.779899995308369,0.0,10.533252716064453,22.608;14.0787;11.9759;10.5333
full,mono,3,4,3,6.67319999774918,0.0,10.576495170593262,22.6459;14.0943;12.0065;10.5765
